"","id","days","last_scraped","host_since","room_type","bathrooms","bedrooms","price","number_of_reviews","review_scores_cleanliness","review_scores_location","review_scores_value","instant_bookable"
"1",2515,3130,"4/2/2017","9/6/2008","Private room",1,1,59,150,9,9,9,"f"
"2",2595,3127,"4/2/2017","9/9/2008","Entire home/apt",1,0,230,20,9,10,9,"f"
"3",3647,3050,"4/2/2017","11/25/2008","Private room",1,1,150,0,NA,NA,NA,"f"
"4",3831,3038,"4/2/2017","12/7/2008","Entire home/apt",1,1,89,116,9,9,9,"f"
"5",4611,3012,"4/2/2017","1/2/2009","Private room",NA,1,39,93,9,8,9,"t"
"6",5099,2981,"4/2/2017","2/2/2009","Entire home/apt",1,1,212,60,9,9,9,"f"
"7",5107,2981,"4/2/2017","2/2/2009","Entire home/apt",1,2,250,60,10,9,10,"f"
"8",5121,2980,"4/2/2017","2/3/2009","Private room",NA,1,60,50,8,9,9,"f"
"9",5172,2980,"4/2/2017","2/3/2009","Entire home/apt",1,1,129,53,9,10,9,"f"
"10",5178,2952,"4/2/2017","3/3/2009","Private room",1,1,79,329,7,10,9,"f"
"11",5203,2978,"4/2/2017","2/5/2009","Private room",1,1,79,112,10,10,10,"f"
"12",5238,2976,"4/2/2017","2/7/2009","Entire home/apt",1,1,140,139,9,9,9,"f"
"13",5441,2967,"4/2/2017","2/16/2009","Private room",1,1,126,114,9,10,10,"f"
"14",5803,2946,"4/3/2017","3/10/2009","Private room",NA,1,80,133,9,10,9,"f"
"15",5857,2941,"4/2/2017","3/14/2009","Entire home/apt",2,2,215,89,9,10,10,"f"
"16",5945,3063,"4/2/2017","11/12/2008","Private room",1,1,120,64,9,10,9,"f"
"17",6848,2888,"4/2/2017","5/6/2009","Entire home/apt",1,NA,140,71,10,9,9,"f"
"18",6990,2882,"4/2/2017","5/12/2009","Private room",1,1,95,196,10,10,10,"t"
"19",7036,2699,"4/2/2017","11/11/2009","Private room",1,1,59,4,10,9,9,"f"
"20",7097,2877,"4/2/2017","5/17/2009","Entire home/apt",1,1,215,116,10,10,9,"f"
"21",7322,2867,"4/2/2017","5/27/2009","Private room",1,1,120,201,10,10,9,"f"
"22",7801,2851,"4/2/2017","6/12/2009","Entire home/apt",1,NA,299,10,9,10,10,"f"
"23",7816,2851,"4/2/2017","6/12/2009","Entire home/apt",1,1,225,12,9,10,9,"f"
"24",7852,2981,"4/3/2017","2/3/2009","Entire home/apt",1,1,250,2,10,10,9,"f"
"25",8024,2843,"4/2/2017","6/20/2009","Private room",3,1,126,86,9,10,9,"t"
