"resp","task","choice","brand","ad","price"
1,1,1,"N","Yes",28
1,1,0,"H","Yes",16
1,1,0,"P","Yes",16
1,2,0,"N","Yes",32
1,2,1,"P","Yes",16
1,2,0,"N","Yes",24
1,3,0,"P","No",8
1,3,1,"H","Yes",24
1,3,0,"N","No",24
1,4,0,"P","No",28
1,4,0,"P","Yes",12
1,4,1,"P","Yes",24
1,5,1,"N","Yes",20
1,5,0,"H","No",28
1,5,0,"P","Yes",16
1,6,1,"H","No",12
1,6,0,"H","Yes",16
1,6,0,"P","Yes",28
1,7,0,"H","Yes",12
1,7,1,"P","No",32
1,7,0,"N","No",12
1,8,0,"N","Yes",12
1,8,0,"H","Yes",24
1,8,1,"P","Yes",28
1,9,0,"P","No",24
1,9,0,"P","No",8
1,9,1,"P","Yes",12
1,10,1,"H","No",16
1,10,0,"H","Yes",28
1,10,0,"H","Yes",24
2,1,0,"H","Yes",16
2,1,1,"P","No",32
2,1,0,"P","Yes",24
2,2,0,"H","No",24
2,2,0,"H","No",8
2,2,1,"P","Yes",12
2,3,0,"N","Yes",28
2,3,0,"P","No",16
2,3,1,"N","No",28
2,4,0,"N","Yes",24
2,4,1,"N","No",20
2,4,0,"H","No",32
2,5,1,"P","No",20
2,5,0,"P","No",28
2,5,0,"N","No",32
2,6,0,"N","Yes",28
2,6,1,"H","No",24
2,6,0,"P","No",28
2,7,1,"N","Yes",12
2,7,0,"H","Yes",8
2,7,0,"P","No",20
2,8,0,"H","Yes",20
2,8,0,"N","Yes",32
2,8,1,"P","Yes",12
2,9,1,"H","No",32
2,9,0,"N","No",28
2,9,0,"N","No",12
2,10,0,"P","Yes",20
2,10,1,"P","No",16
2,10,0,"P","No",28
3,1,0,"H","No",24
3,1,0,"H","Yes",16
3,1,1,"H","No",20
3,2,1,"N","Yes",12
3,2,0,"P","No",24
3,2,0,"H","Yes",16
3,3,0,"P","Yes",28
3,3,1,"N","Yes",12
3,3,0,"H","Yes",24
3,4,1,"N","No",16
3,4,0,"H","No",20
3,4,0,"P","Yes",28
3,5,0,"H","No",28
3,5,1,"N","Yes",20
3,5,0,"N","Yes",24
3,6,0,"H","Yes",12
3,6,0,"N","Yes",12
3,6,1,"N","No",28
3,7,0,"H","Yes",32
3,7,0,"N","No",8
3,7,1,"N","Yes",8
3,8,0,"N","Yes",24
3,8,1,"N","No",16
3,8,0,"H","No",20
3,9,0,"P","Yes",20
3,9,1,"N","No",32
3,9,0,"H","Yes",8
3,10,1,"N","No",20
3,10,0,"P","Yes",20
3,10,0,"P","No",12
4,1,0,"H","Yes",20
4,1,1,"P","Yes",8
4,1,0,"N","Yes",16
4,2,1,"P","Yes",12
4,2,0,"P","Yes",28
4,2,0,"H","No",28
4,3,1,"N","No",16
4,3,0,"P","No",20
4,3,0,"H","Yes",28
4,4,0,"N","Yes",24
4,4,0,"P","Yes",12
4,4,1,"H","No",16
4,5,0,"N","Yes",12
4,5,0,"H","No",32
4,5,1,"N","No",12
4,6,0,"P","No",20
4,6,1,"P","Yes",24
4,6,0,"H","Yes",28
4,7,1,"N","No",12
4,7,0,"N","Yes",16
4,7,0,"P","No",12
4,8,1,"N","Yes",12
4,8,0,"N","Yes",24
4,8,0,"P","No",20
4,9,0,"H","No",20
4,9,0,"H","Yes",12
4,9,1,"N","Yes",32
4,10,0,"H","No",8
4,10,0,"H","Yes",24
4,10,1,"N","Yes",8
5,1,0,"P","No",16
5,1,1,"P","No",24
5,1,0,"P","Yes",24
5,2,0,"P","Yes",24
5,2,1,"P","No",32
5,2,0,"P","Yes",20
5,3,0,"N","Yes",28
5,3,0,"P","No",24
5,3,1,"P","No",16
5,4,0,"P","Yes",20
5,4,0,"P","No",28
5,4,1,"N","Yes",24
5,5,1,"N","No",8
5,5,0,"N","No",12
5,5,0,"H","Yes",28
5,6,1,"P","Yes",12
5,6,0,"N","Yes",24
5,6,0,"H","Yes",20
5,7,1,"N","Yes",28
5,7,0,"H","No",8
5,7,0,"N","Yes",12
5,8,1,"P","No",16
5,8,0,"N","No",24
5,8,0,"N","No",32
5,9,1,"P","Yes",20
5,9,0,"H","No",16
5,9,0,"P","No",24
5,10,1,"P","Yes",8
5,10,0,"N","Yes",16
5,10,0,"H","No",20
6,1,1,"H","No",16
6,1,0,"P","Yes",8
6,1,0,"N","Yes",32
6,2,1,"N","Yes",16
6,2,0,"H","No",8
6,2,0,"P","Yes",32
6,3,1,"N","No",16
6,3,0,"P","No",28
6,3,0,"H","No",28
6,4,0,"P","No",20
6,4,1,"H","Yes",8
6,4,0,"N","Yes",28
6,5,0,"P","No",20
6,5,0,"H","Yes",8
6,5,1,"H","Yes",12
6,6,0,"N","Yes",28
6,6,1,"H","No",24
6,6,0,"H","Yes",12
6,7,0,"P","No",32
6,7,0,"N","No",24
