id,y1,y2,y3,y4,f1,f2,f3,f4,p1,p2,p3,p4
1,0,0,0,1,0,0,0,0,0.108,0.081,0.061000001,0.079000004
2,0,1,0,0,0,0,0,0,0.108,0.097999997,0.064000003,0.075000003
3,0,1,0,0,0,0,0,0,0.108,0.097999997,0.061000001,0.086000003
4,0,1,0,0,0,0,0,0,0.108,0.097999997,0.061000001,0.086000003
5,0,1,0,0,0,0,0,0,0.125,0.097999997,0.048999999,0.079000004
6,0,1,0,0,0,0,0,0,0.108,0.092,0.050000001,0.079000004
7,0,1,0,0,0,0,0,0,0.103,0.081,0.048999999,0.079000004
8,0,0,0,1,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004
9,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004
10,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004
11,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004
12,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004
13,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.086000003
14,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.086000003
15,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
16,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
17,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
18,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
19,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
20,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081
21,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
22,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
23,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
24,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081
25,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004
26,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004
27,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004
28,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081
29,0,1,0,0,0,0,0,0,0.11,0.048999999,0.061000001,0.079000004
30,0,1,0,0,0,0,0,0,0.103,0.044,0.048999999,0.079000004
31,0,1,0,0,0,0,0,0,0.103,0.044,0.048999999,0.079000004
32,1,0,0,0,0,0,0,0,0.032000002,0.094999999,0.057999998,0.103
33,1,0,0,0,0,0,0,0,0.108,0.094999999,0.057999998,0.103
34,1,0,0,0,0,0,0,0,0.108,0.094999999,0.057999998,0.103
35,1,0,0,0,0,0,0,0,0.055,0.086000003,0.054000001,0.079000004
36,1,0,0,0,0,0,0,0,0.082999997,0.086000003,0.054000001,0.079000004
37,1,0,0,0,0,0,0,0,0.082999997,0.086000003,0.054000001,0.079000004
38,1,0,0,0,0,0,0,1,0.115,0.086000003,0.056000002,0.063000001
39,1,0,0,0,0,0,0,1,0.032000002,0.086000003,0.056000002,0.063000001
40,0,0,0,1,0,0,0,1,0.115,0.086000003,0.061000001,0.063000001
41,0,1,0,0,0,0,0,0,0.115,0.055,0.061000001,0.064000003
42,0,1,0,0,0,0,1,0,0.115,0.063000001,0.061000001,0.079000004
43,0,1,0,0,0,0,0,1,0.041999999,0.030999999,0.061000001,0.063000001
44,0,0,1,0,0,0,0,0,0.11,0.081,0.066,0.079000004
45,0,0,1,0,0,0,0,0,0.11,0.081,0.066,0.079000004
46,0,1,0,0,0,0,0,0,0.13500001,0.081,0.066,0.079000004
47,0,1,0,0,0,0,0,0,0.13500001,0.081,0.066,0.079000004
48,0,0,1,0,0,0,0,0,0.11,0.081,0.061000001,0.079000004
49,0,0,1,0,0,0,0,0,0.11,0.081,0.061000001,0.079000004
50,0,0,1,0,0,0,0,0,0.103,0.081,0.048999999,0.079000004
51,0,1,0,0,0,0,0,0,0.108,0.086000003,0.050000001,0.079000004
52,0,1,0,0,0,0,1,0,0.112,0.086000003,0.061000001,0.079000004
53,1,0,0,0,0,0,0,0,0.025,0.086000003,0.054000001,0.079000004
54,1,0,0,0,0,0,1,0,0.057999998,0.086000003,0.025,0.079000004
55,1,0,0,0,0,0,1,0,0.057999998,0.086000003,0.025,0.079000004
56,0,0,0,1,0,0,0,1,0.115,0.086000003,0.061000001,0.063000001
57,0,1,0,0,0,0,0,0,0.11,0.018999999,0.054000001,0.079000004
58,1,0,0,0,0,0,0,0,0.103,0.097999997,0.048999999,0.079000004
59,1,0,0,0,0,0,0,0,0.103,0.097999997,0.048999999,0.079000004
60,1,0,0,0,0,0,0,0,0.103,0.097999997,0.048999999,0.079000004
61,0,1,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004
62,0,1,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004
63,0,1,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004
